id,platform,year,genre,publisher,na_sales,eu_sales,other_sales,jp_sales
2463,DS,2009,Adventure,Arc System Works,0.0,0.0,0.0,1.0100000001483
2495,PSP,2006,Action,Namco Bandai Games,0.0,0.0,0.0,1.11999999965616
2398,Wii,2010,Platform,Nintendo,1.02,0.52,0.14,1.91999999992379
4095,PSP,2011,Role-Playing,Namco Bandai Games,0.0,0.0,0.0,1.28000000008765
5590,PSP,2011,Misc,Asgard,0.0,0.0,0.0,1.02999999975121
5795,3DS,2014,Sports,Nintendo,0.15,0.14,0.03,1.17000000022269
3854,PS3,2012,Adventure,5pb,0.0,0.0,0.0,1.0100000001483
1886,PS4,2014,Shooter,Activision,2.8,3.3,1.37,1.1399999995367
489,PS4,2015,Role-Playing,Idea Factory International,0.0,0.0,0.0,1.03999999984059
3146,X360,2008,Action,Capcom,0.79,0.34,0.13,1.07999999985298
5958,PSV,2016,Misc,Tecmo Koei,0.0,0.0,0.0,1.03999999984059
2767,X360,2014,Shooter,Take-Two Interactive,0.46,0.22,0.06,1.0100000001483
3723,PS2,2008,Adventure,D3Publisher,0.0,0.0,0.0,1.02999999975121
3916,PS2,2003,Action,Capcom,0.05,0.04,0.01,1.22999999952728
293,PS3,2010,Action,Ubisoft Annecy,0.06,0.03,0.02,1.55000000010671
833,WiiU,2012,Role-Playing,Nintendo,0.26,0.19,0.04,1.2200000003109
3869,Wii,2009,Action,Konami Digital Entertainment,0.23,0.19,0.05,1.0100000001483
5633,PSP,2010,Misc,Sega,0.0,0.0,0.0,1.40999999944999
2265,PS2,2006,Action,Banpresto,0.0,0.0,0.0,1.1300000003116
5957,PSV,2015,Adventure,Prototype,0.0,0.0,0.0,1.0199999996979
4788,PSV,2013,Action,Nippon Ichi Software,0.09,0.02,0.03,1.07999999985298
667,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.12,1.0100000001483
2026,PS,1998,Sports,Magical Company,0.15,0.1,0.03,1.11999999965616
5889,XB,2004,Fighting,Tecmo Koei,0.3,0.1,0.02,1.07999999985298
5085,N64,1997,Sports,Konami Digital Entertainment,0.09,0.26,0.02,1.22999999952728
5794,PS2,2005,Action,Konami Digital Entertainment,0.18,0.14,0.05,1.0499999998221
2875,PS4,2015,Action,Tecmo Koei,0.02,0.01,0.01,1.0499999998221
2709,PS2,2006,Adventure,Sega,0.05,0.04,0.16,1.84000000069755
440,PSP,2008,Action,Sony Computer Entertainment,1.48,1.01,0.66,1.03999999984059
648,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.22,1.06999999949302
2035,PS3,2012,Action,Sony Computer Entertainment,0.47,0.14,0.09,1.0199999996979
2562,SAT,1995,Fighting,Sega,0.0,0.0,0.0,1.22999999952728
1143,PS4,2016,Role-Playing,Square Enix,0.0,0.0,0.0,1.05999999986859
2433,PS,1998,Sports,989 Studios,1.65,0.46,0.1,1.10000000021524
5901,SAT,1997,Action,Capcom,0.0,0.0,0.0,1.06999999949302
1532,PSP,2009,Simulation,From Software,0.0,0.0,0.0,1.07999999985298
5438,N64,1999,Platform,Konami Digital Entertainment,0.06,0.02,0.0,1.0499999998221
5146,DS,2007,Platform,Nintendo,0.26,0.04,0.03,1.24000000047499
913,PS2,2002,Role-Playing,Atari,0.1,0.08,0.03,1.55999999959214
602,PS2,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.0,1.21000000047353
312,PS3,2014,Misc,Sega,0.09,0.04,0.03,1.10000000021524
3368,DS,2011,Strategy,Konami Digital Entertainment,0.1,0.03,0.01,1.06999999949302
4986,3DS,2012,Adventure,Unknown,0.0,0.0,0.0,1.03999999984059
3507,3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.0,1.02999999975121
1867,DS,2008,Role-Playing,Rising Star Games,0.11,0.0,0.01,1.11999999965616
862,GBA,2006,Action,Banpresto,0.0,0.0,0.0,1.06999999949302
5524,Wii,2008,Adventure,Sega,0.0,0.0,0.0,1.1300000003116
732,SNES,1993,Sports,Namco Bandai Games,0.0,0.0,0.0,1.69000000010988
441,SNES,1994,Shooter,Konami Digital Entertainment,0.0,0.0,0.0,1.17999999943646
3659,NG,1993,Fighting,SNK,0.0,0.0,0.0,1.06999999949302
3959,PSP,2008,Role-Playing,Nippon Ichi Software,0.05,0.0,0.01,1.02999999975121
4509,PSV,2015,Action,Idea Factory,0.0,0.0,0.0,1.0100000001483
4364,DS,2008,Role-Playing,Nintendo,2.82,1.78,0.55,3.68999999980651
4049,WiiU,2015,Platform,Nintendo,0.23,0.14,0.04,1.11999999965616
3762,PSP,2006,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.0,1.03999999984059
3905,PS2,2006,Action,Capcom,0.15,0.12,0.04,1.34000000004982
2249,PS,1995,Strategy,Sony Computer Entertainment,0.0,0.0,0.01,1.1300000003116
4549,DS,2006,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.0,1.0199999996979
28,PS4,2015,Role-Playing,Nippon Ichi Software,0.1,0.08,0.04,1.05999999986859
2813,PS2,2009,Adventure,Enterbrain,0.0,0.0,0.0,1.1300000003116
882,PS,1999,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.04,1.30999999972089
4037,PSP,2009,Adventure,TGL,0.0,0.0,0.0,1.0100000001483
4739,GEN,1994,Platform,Sega,1.24,0.43,0.12,1.02999999975121
2064,PS2,2007,Simulation,Banpresto,0.0,0.0,0.0,1.26000000004613
5861,DS,2007,Adventure,Capcom,0.33,0.05,0.04,1.24999999960724
225,DC,1999,Sports,Sega,0.0,0.0,0.0,1.0499999998221
2034,DS,2007,Simulation,Electronic Arts,0.0,0.03,0.0,1.02999999975121
1213,GB,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.0,1.06999999949302
1657,3DS,2012,Adventure,D3Publisher,0.0,0.0,0.0,1.02999999975121
971,DS,2008,Action,Namco Bandai Games,0.0,0.0,0.0,1.0199999996979
387,SNES,1991,Shooter,Capcom,0.0,0.0,0.0,1.11999999965616
1536,PSV,2013,Fighting,Tecmo Koei,0.0,0.05,0.02,1.02999999975121
2343,DS,2009,Action,Take-Two Interactive,0.59,0.57,0.14,1.0499999998221
1966,PSV,2013,Role-Playing,FuRyu,0.0,0.0,0.0,1.02999999975121
604,X360,2013,Shooter,Electronic Arts,0.51,0.33,0.08,1.0100000001483
4062,DS,2007,Role-Playing,Rising Star Games,0.0,0.0,0.0,1.0199999996979
2056,3DS,2014,Role-Playing,Atlus,0.0,0.0,0.0,1.10000000021524
1348,PS2,2007,Misc,D3Publisher,0.0,0.0,0.0,1.05999999986859
5613,PS3,2013,Sports,Konami Digital Entertainment,0.0,0.0,0.0,1.26000000004613
578,X360,2014,Shooter,Electronic Arts,0.87,0.38,0.11,1.0199999996979
6081,PS,1998,Fighting,THQ,1.1,0.48,0.07,1.03999999984059
4228,DS,2005,Simulation,Marvelous Interactive,0.0,0.0,0.0,1.10000000021524
5674,DS,2005,Role-Playing,Tomy Corporation,0.0,0.0,0.0,1.1399999995367
1129,PSP,2007,Adventure,Prototype,0.0,0.0,0.0,1.0199999996979
